Date : 2019-11-10 18:11:59
Directory : d:\Unity\Project\Shooting Game
Total : 229 files,  25078 codes, 1498 comments, 3867 blanks, all 30443 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| Assets\Scripts\Preview\PlayerPreview2.cs                                                                                                  | C#         |         36 |          1 |          7 |         44 |
| Assets\Scripts\Preview\PlayerPreviewDrone.cs                                                                                              | C#         |         29 |          0 |          9 |         38 |
| Assets\Scripts\Preview\PlayerPreviewLaser.cs                                                                                              | C#         |          9 |          0 |          2 |         11 |
| Assets\Scripts\Preview\PlayerPreviewLaserShooter.cs                                                                                       | C#         |         48 |          0 |         10 |         58 |
| Assets\Scripts\Preview\PlayerPreviewShooter.cs                                                                                            | C#         |         76 |          0 |         15 |         91 |
| Assets\Scripts\Preview\PreviewPoolingManager.cs                                                                                           | C#         |         14 |          0 |          2 |         16 |
| Assets\Scripts\ScreenEffectAnimation.cs                                                                                                   | C#         |         32 |          0 |          9 |         41 |
| Assets\Scripts\ScreenEffectFadeOut.cs                                                                                                     | C#         |         22 |          0 |          4 |         26 |
| Assets\Scripts\ScreenEffecter.cs                                                                                                          | C#         |         55 |          0 |          8 |         63 |
| Assets\Scripts\TerrainWater.cs                                                                                                            | C#         |        321 |         36 |         54 |        411 |
| Assets\Scripts\TestScript.cs                                                                                                              | C#         |         45 |          2 |          7 |         54 |
| Assets\Scripts\UI Handlers\AttributesAlphaHandler.cs                                                                                      | C#         |         26 |          2 |          5 |         33 |
| Assets\Scripts\UI Handlers\AttributesConfirmHandler.cs                                                                                    | C#         |         49 |          0 |         10 |         59 |
| Assets\Scripts\UI Handlers\AttributesCostHandler.cs                                                                                       | C#         |         31 |          0 |          6 |         37 |
| Assets\Scripts\UI Handlers\AttributesDetailsHandler.cs                                                                                    | C#         |         94 |          0 |         18 |        112 |
| Assets\Scripts\UI Handlers\AttributesHandler.cs                                                                                           | C#         |         84 |          0 |         17 |        101 |
| Assets\Scripts\UI Handlers\AttributesSelectHandler.cs                                                                                     | C#         |         38 |          0 |          7 |         45 |
| Assets\Scripts\UI Handlers\BossHealthHandler.cs                                                                                           | C#         |         66 |          0 |         15 |         81 |
| Assets\Scripts\UI Handlers\GraphicsMenuHandler.cs                                                                                         | C#         |        113 |          0 |         19 |        132 |
| Assets\Scripts\UI Handlers\KeyConfigMenuHandler.cs                                                                                        | C#         |         52 |          0 |         13 |         65 |
| Assets\Scripts\UI Handlers\LanguageMenuHandler.cs                                                                                         | C#         |         73 |          0 |         16 |         89 |
| Assets\Scripts\UI Handlers\LogoScreen.cs                                                                                                  | C#         |         11 |          0 |          2 |         13 |
| Assets\Scripts\UI Handlers\MainMenuHandler.cs                                                                                             | C#         |         72 |          6 |         12 |         90 |
| Assets\Scripts\UI Handlers\MainMenuMusicController.cs                                                                                     | C#         |         35 |          0 |          7 |         42 |
| Assets\Scripts\UI Handlers\OverviewGemRotator.cs                                                                                          | C#         |         11 |          0 |          3 |         14 |
| Assets\Scripts\UI Handlers\OverviewHandler.cs                                                                                             | C#         |        155 |          0 |         17 |        172 |
| Assets\Scripts\UI Handlers\PauseMenuHandler.cs                                                                                            | C#         |         52 |          2 |         10 |         64 |
| Assets\Scripts\UI Handlers\ReplayMenuHandler.cs                                                                                           | C#         |         84 |          0 |         13 |         97 |
| Assets\Scripts\UI Handlers\SelectDifficultyHandler.cs                                                                                     | C#         |         35 |          0 |          9 |         44 |
| Assets\Scripts\UI Handlers\SettingsMenuHandler.cs                                                                                         | C#         |         59 |          0 |          9 |         68 |
| Assets\Scripts\UI Handlers\SoundMenuHandler.cs                                                                                            | C#         |         85 |          0 |         17 |        102 |
| Assets\Scripts\UI Handlers\TextLanguage.cs                                                                                                | C#         |         25 |          0 |          4 |         29 |
| Assets\Scripts\UI Handlers\Version.cs                                                                                                     | C#         |         13 |          0 |          5 |         18 |
| Assets\Scripts\Unused\PlayerAddShotModule.cs                                                                                              | C#         |         12 |          1 |          3 |         16 |
| Assets\Shaders\Laser_Add_CenterGlow.shader                                                                                                | ShaderLab  |         89 |          0 |          1 |         90 |
| Assets\Shaders\Laser_Add_DistortTexture.shader                                                                                            | ShaderLab  |         88 |          1 |          3 |         92 |
| Assets\Shaders\Laser_Blend_CenterGlow.shader                                                                                              | ShaderLab  |         91 |          0 |          2 |         93 |
| Assets\Shaders\player_shield_E.shader                                                                                                     | ShaderLab  |        154 |         55 |          7 |        216 |
| Assets\Terrains\Tree\Trees_WorldSpace\Misc\Obselete_canDelete\ShaderForgeDepricated\Depricated_canDelete\SF_Dep_TreeBarkShader.shader     | ShaderLab  |        452 |         15 |         11 |        478 |
| Assets\Terrains\Tree\Trees_WorldSpace\Misc\Obselete_canDelete\ShaderForgeDepricated\Depricated_canDelete\SF_Dep_TreeLeavesSwitcher.shader | ShaderLab  |        615 |         17 |         12 |        644 |
| Assets\Terrains\Tree\Trees_WorldSpace\Shaders\BarkShaderAS.shader                                                                         | ShaderLab  |         61 |         53 |          4 |        118 |
| Assets\Terrains\Tree\Trees_WorldSpace\Shaders\TreeLeafSwitcherAS.shader                                                                   | ShaderLab  |        273 |        142 |         10 |        425 |
| Assets\Terrains\Water\FXWaterPro.shader                                                                                                   | ShaderLab  |        124 |          9 |         32 |        165 |
| Logs\Packages-Update.log                                                                                                                  | Log        |         41 |          0 |          4 |         45 |
| Packages\manifest.json                                                                                                                    | JSON       |         41 |          0 |          1 |         42 |
| README.md                                                                                                                                 | Markdown   |         53 |          0 |         20 |         73 |
| Total                                                                                                                                     |            |     25,078 |      1,498 |      3,867 |     30,443 |
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
